iter	Logloss
0	0.6852353226
1	0.6774060166
2	0.6693046952
3	0.6616985257
4	0.6532265805
5	0.6458290471
6	0.6385036004
7	0.6309077494
8	0.6241894946
9	0.6188399652
10	0.6114337327
11	0.6054181456
12	0.5985294592
13	0.5916942723
14	0.5861739043
15	0.5816727518
16	0.5751311611
17	0.5688973036
18	0.5627799098
19	0.5575510592
20	0.5530203339
21	0.548081926
22	0.5426257044
23	0.5371432663
24	0.5321124362
25	0.5281509816
26	0.5246920274
27	0.5208182819
28	0.5158061507
29	0.5116447879
30	0.5074331326
31	0.5036217334
32	0.4988806514
33	0.4952447909
34	0.4905838088
35	0.4873032762
36	0.4838054234
37	0.4797846515
38	0.476918835
39	0.4735940875
40	0.4702670626
41	0.4664219366
42	0.4633733826
43	0.4602511336
44	0.4571133857
45	0.454307936
46	0.4507280532
47	0.4472647678
48	0.4446508149
49	0.441935495
50	0.4394634581
51	0.4370162674
52	0.4342425453
53	0.4312186186
54	0.4289556747
55	0.4262121368
56	0.423481207
57	0.420949629
58	0.4189108667
59	0.4161269497
60	0.4138565248
61	0.4113092513
62	0.4092638259
63	0.4071942577
64	0.4052737898
65	0.4037046526
66	0.401875369
67	0.3999411385
68	0.3981062646
69	0.3961929748
70	0.3944601174
71	0.3927149556
72	0.390911452
73	0.3893690053
74	0.3876820671
75	0.3856984594
76	0.3838163083
77	0.3824767682
78	0.381450167
79	0.3795911541
80	0.3782846686
81	0.3770363358
82	0.3755614697
83	0.3741142437
84	0.3724472874
85	0.3709146226
86	0.3695612479
87	0.3683230823
88	0.3671352751
89	0.3658443042
90	0.3649809197
91	0.3638047573
92	0.3626011773
93	0.3615342107
94	0.3603390188
95	0.358952982
96	0.3578349792
97	0.3568286333
98	0.3556690654
99	0.3547359592
100	0.3537079132
101	0.3524831812
102	0.3513031635
103	0.3504308265
104	0.3495276593
105	0.3487318866
106	0.3476874384
107	0.3469061902
108	0.3460324858
109	0.3449214769
110	0.3439143931
111	0.343307162
112	0.342568954
113	0.34179566
114	0.34083747
115	0.3400572381
116	0.3393118268
117	0.33853744
118	0.3377227184
119	0.3370506944
120	0.3362863368
121	0.3356552797
122	0.3349543544
123	0.3341451309
124	0.3334959143
125	0.3328640213
126	0.3323031667
127	0.3317179911
128	0.3311669731
129	0.3305086889
130	0.3298622556
131	0.3292153092
132	0.3286906989
133	0.3281516512
134	0.3275617197
135	0.3267481125
136	0.3261136017
137	0.3255839194
138	0.3248231919
139	0.3242847646
140	0.3237121321
141	0.3232008392
142	0.3227560585
143	0.3222098764
144	0.3218167495
145	0.3212912351
146	0.3208743175
147	0.3202578733
148	0.3198767496
149	0.3194281279
150	0.3190524183
151	0.3186245855
152	0.3182128055
153	0.3178480446
154	0.3174264549
155	0.3168815951
156	0.3165358573
157	0.316121426
158	0.3156970716
159	0.3154615727
160	0.3150720376
161	0.3146523937
162	0.3142281346
163	0.3139043405
164	0.3136105457
165	0.3132194206
166	0.3129246943
167	0.3125628786
168	0.3122320639
169	0.3119230202
170	0.3114907076
171	0.3111693236
172	0.3108327509
173	0.3105067192
174	0.3101754097
175	0.3098806237
176	0.3095692163
177	0.3093019152
178	0.3090164036
179	0.3087603326
